INSTNM,STABBR
John Brown University,AR
Lees School of Cosmetology,AR
Career Academy of Hair Design,AR
Marsha Kay Beauty College,AR
Academy of Salon and Spa,AR
Mid-South Community College,AR
Arkansas Northeastern College,AR
Margaret's Hair Academy Inc,AR
New Tyler Barber College Inc,AR
North Arkansas College,AR
Northwest Technical Institute,AR
Ouachita Baptist University,AR
College of the Ouachitas,AR
Ozarka College,AR
University of the Ozarks,AR
University of Arkansas Community College-Morrilton,AR
Philander Smith College,AR
Phillips Community College of the University of Arkansas,AR
Southeast Arkansas College,AR
Professional Cosmetology Education Center,AR
Pulaski Technical College,AR
University of Arkansas Community College-Hope,AR
Rich Mountain Community College,AR
Paul Mitchell the School-Arkansas,AR
Searcy Beauty College Inc,AR
Shorter College,AR
Williams Baptist College,AR
South Arkansas Community College,AR
Southern Arkansas University Main Campus,AR
Southern Arkansas University Tech,AR
University of Arkansas System Office,AR
Velvatex College of Beauty Culture,AR
University of Arkansas-Fort Smith,AR
Academy of Art University,CA
ITT Technical Institute-Rancho Cordova,CA
Academy of Chinese Culture and Health Sciences,CA
The Academy of Radio and TV Broadcasting,CA
Avalon School of Cosmetology-Alameda,CA
College of Alameda,CA
Allan Hancock College,CA
American Academy of Dramatic Arts-Los Angeles,CA
American Baptist Seminary of the West,CA
American Film Institute Conservatory,CA
American Beauty College,CA
American Career College-Los Angeles,CA
American Conservatory Theater,CA
American River College,CA
Everest College-Hayward,CA
Antelope Valley College,CA
Art Center College of Design,CA
Associated Technical College-Los Angeles,CA
Associated Technical College-San Diego,CA
Azusa Pacific University,CA
Bakersfield College,CA
Barstow Community College,CA
Bellus Academy-National City,CA
Bethesda University of California,CA
Biola University,CA
Brooks Institute,CA
Brownson Technical School,CA
Bryan University,CA
Butte College,CA
Phillips Graduate Institute,CA
California Institute of Integral Studies,CA
Cabrillo College,CA
California Baptist University,CA
California College of the Arts,CA
University of California-Hastings College of Law,CA
California Institute of Technology,CA
California Lutheran University,CA
California Polytechnic State University-San Luis Obispo,CA
Alliant International University,CA
California State University-Bakersfield,CA
California State University-Stanislaus,CA
California State University-Chancellors Office,CA
California State University-San Bernardino,CA
California State Polytechnic University-Pomona,CA
California State University-Chico,CA
California State University-Dominguez Hills,CA
California State University-Fresno,CA
California State University-Fullerton,CA
California State University-East Bay,CA
California State University-Long Beach,CA
California State University-Los Angeles,CA
California State University-Northridge,CA
California State University-Sacramento,CA
University of California-Berkeley,CA
University of California-Davis,CA
University of California-Irvine,CA
University of California-Los Angeles,CA
University of California-Riverside,CA
University of California-San Diego,CA
University of California-San Francisco,CA
University of California-Santa Barbara,CA
University of California-Santa Cruz,CA
Sofia University,CA
California Beauty School,CA
California Christian College,CA
California College San Diego,CA
Le Cordon Bleu College of Culinary Arts-San Francisco,CA
California Hair Design Academy,CA
California Institute of the Arts,CA
California Maritime Academy,CA
California Western School of Law,CA
Canada College,CA
College of the Canyons,CA
Career Academy of Beauty,CA
Casa Loma College-Van Nuys,CA
CET-San Diego,CA
CET-Sobrato,CA
CET-El Centro,CA
CET-San Bernardino,CA
CET-Watsonville,CA
CET-Gilroy,CA
CET-Salinas,CA
Cerritos College,CA
Cerro Coso Community College,CA
Chabot College,CA
Chaffey College,CA
Chapman University,CA
Charles R Drew University of Medicine and Science,CA
Concordia University-Irvine,CA
San Diego Christian College,CA
Church Divinity School of the Pacific,CA
Citrus College,CA
Citrus Heights Beauty College,CA
City College of San Francisco,CA
Claremont Graduate University,CA
Claremont McKenna College,CA
Milan Institute-Visalia,CA
Clovis Adult Education,CA
Coast Community College District Office,CA
Coastline Community College,CA
Cogswell College,CA
Coleman University,CA
COBA Academy,CA
Western University of Health Sciences,CA
Columbia College,CA
Columbia College-Hollywood,CA
